company_name,company_rating,industry,size,type,years_old,location
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Chennai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Gurgaon
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Hosur
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Jaipur
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Pune
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Hyderabad
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,Hyderabad
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Kalyani
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Kalyani
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Gurgaon
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Kalyani
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Kalyani
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Bangalore
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Kalyani
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Jaipur
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
