company_name,company_rating,industry,size,type,years_old,location
Abellon Clean Energy,3.7,Other,501-1k Employees,Public,16,Ahmedabad
Adani Solar,4.0,Power,1k-5k Employees,Public,9,Ahmedabad
Ingersoll Rand,4.3,Industrial Machinery,501-1k Employees,Public,52,Ahmedabad
Sintex Industries,4.1,Industrial Machinery,5k-10k Employees,Public,93,Ahmedabad
Adani Gas,3.5,Oil & Gas,501-1k Employees,Public,20,Ahmedabad
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24,Ahmedabad
Silver Touch Technologies,3.6,IT Services & Consulting,1k-5k Employees,Public,32,Ahmedabad
Indus Towers,4.0,Telecom,1k-5k Employees,Fortune India 500,17,Ahmedabad
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Ahmedabad
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82,Ahmedabad
Dev Information Technology,3.9,IT Services & Consulting,501-1k Employees,Public,27,Ahmedabad
Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55,Ahmedabad
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,23,Ahmedabad
Paytm,3.5,FinTech,10k-50k Employees,Public,14,Ahmedabad
Symphony,4.1,Consumer Electronics & Appliances,201-500 Employees,Public,36,Ahmedabad
Delhivery,4.0,Logistics,10k-50k Employees,Fortune India 500,13,Ahmedabad
Sterling Hospitals,4.0,Healthcare,1k-5k Employees,Public,23,Ahmedabad
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,13,Ahmedabad
Flipkart,4.0,Internet,10k-50k Employees,Public,17,Ahmedabad
Deep Industries,3.5,Oil & Gas,1k-5k Employees,Public,33,Ahmedabad
Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17,Ahmedabad
upGrad,3.8,EdTech,5k-10k Employees,Indian Unicorn,9,Ahmedabad
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Ahmedabad
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41,Ahmedabad
Quess,4.0,BPO,1k-5k Employees,Public,17,Ahmedabad
Meghmani Organics,3.9,Chemicals,501-1k Employees,Public,38,Ahmedabad
Voltas,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,70,Ahmedabad
Oil And Natural Gas Corporation,4.3,Oil & Gas,10k-50k Employees,Public,68,Ahmedabad
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11,Ahmedabad
Kotak Securities,3.7,Financial Services,5k-10k Employees,Conglomerate,30,Ahmedabad
